MAME,section,filename,crc,size,d'Start,d'Start,h'Start,h'End,bitpattern end,bitpattern start,Bitrange,Bit map,Corebits,Done?
,,,,,,,,,,,,,,
gfx1,joust2_graph1,vid_27128_ic57_rom20_rev1.8f ,572c6b01,16384,0,16383,00000,03FFF,000000000011111111111111,000000000000000000000000,17:14,0000,13:0,Yes
gfx1,joust2_graph2,vid_27128_ic58_rom21_rev1.9f,aa94bf05,16384,16384,32767,04000,07FFF,000000000111111111111111,000000000100000000000000,17:14,0001,13:0,Yes
gfx1,joust2_graph3,vid_27128_ic41_rom22_rev1.9d,c41e3daa,16384,32768,49151,08000,0BFFF,000000001011111111111111,000000001000000000000000,17:14,0010,13:0,Yes
,padding,BLANK,,16384,49152,65535,0C000,0FFFF,000000001111111111111111,000000001100000000000000,17:14,0011,N/A,N/A
maincpu,joust2_bank_a,cpu_2732_ic26_rom19_rev1.10j,4ef5e805,8192,65536,73727,10000,11FFF,000000010001111111111111,000000010000000000000000,17:15,010,14:0,Yes
maincpu,,cpu_2732_ic24_rom17_rev1.10h,4861f063,8192,73728,81919,12000,13FFF,000000010011111111111111,000000010010000000000000,17:15,010,14:0,Yes
maincpu,,cpu_2732_ic22_rom15_rev1.9j,421aafa8,8192,81920,90111,14000,15FFF,000000010101111111111111,000000010100000000000000,17:15,010,14:0,Yes
maincpu,,cpu_2732_ic20_rom13_rev1.9h,3432ff55,8192,90112,98303,16000,17FFF,000000010111111111111111,000000010110000000000000,17:15,010,14:0,Yes
maincpu,joust2_bank_b,cpu_2732_ic25_rom18_rev1.10i,47580af5,8192,98304,106495,18000,19FFF,000000011001111111111111,000000011000000000000000,17:15,011,14:0,Yes
maincpu,,cpu_2732_ic23_rom16_rev1.10g,869b5942,8192,106496,114687,1A000,1BFFF,000000011011111111111111,000000011010000000000000,17:15,011,14:0,Yes
maincpu,,cpu_2732_ic21_rom14_rev1.9i,0bbd867c,8192,114688,122879,1C000,1DFFF,000000011101111111111111,000000011100000000000000,17:15,011,14:0,Yes
maincpu,,cpu_2732_ic19_rom12_rev1.9g,b9221ed1,8192,122880,131071,1E000,1FFFF,000000011111111111111111,000000011110000000000000,17:15,011,14:0,Yes
maincpu,joust2_bank_c,cpu_2732_ic18_rom11_rev1.8j,9dc986f9,8192,131072,139263,20000,21FFF,000000100001111111111111,000000100000000000000000,17:15,100,14:0,Yes
maincpu,,cpu_2732_ic16_rom9_rev2.8h,56e2b550,8192,139264,147455,22000,23FFF,000000100011111111111111,000000100010000000000000,17:15,100,14:0,Yes
maincpu,,cpu_2732_ic14_rom7_rev2.6j,f3bce576,8192,147456,155647,24000,25FFF,000000100101111111111111,000000100100000000000000,17:15,100,14:0,Yes
maincpu,,cpu_2732_ic12_rom5_rev2.6h,5f8b4919,8192,155648,163839,26000,27FFF,000000100111111111111111,000000100110000000000000,17:15,100,14:0,Yes
maincpu,joust2_bank_d,cpu_2732_ic17_rom10_rev1.8i,3e01b597,8192,163840,172031,28000,29FFF,000000101001111111111111,000000101000000000000000,17:15,101,14:0,Yes
maincpu,,cpu_2732_ic15_rom8_rev1.8g,ff26fb29,8192,172032,180223,2A000,2BFFF,000000101011111111111111,000000101010000000000000,17:15,101,14:0,Yes
maincpu,,cpu_2732_ic13_rom6_rev2.6i,5f107db5,8192,180224,188415,2C000,2DFFF,000000101101111111111111,000000101100000000000000,17:15,101,14:0,Yes
maincpu,expand to 32kb,BLANK,,8192,188416,196607,2E000,2FFFF,000000101111111111111111,000000101110000000000000,17:15,101,14:0,Yes
maincpu,joust2_prog2,cpu_2732_ic9_rom3_rev2.4d,951175ce,4096,196608,200703,30000,30FFF,000000110000111111111111,000000110000000000000000,17:13,11000,11:0,Yes
maincpu,,cpu_2732_ic10_rom4_rev2.4f,ba6e0f6c,4096,200704,204799,31000,31FFF,000000110001111111111111,000000110001000000000000,17:13,11000,11:0,Yes
,padding,BLANK,,16384,204800,221183,32000,35FFF,000000110101111111111111,000000110010000000000000,17:13,11001,N/A,N/A
soundcpu,joust2_sound,cpu_2764_ic8_rom1_rev1.0f,84517c3c,8192,221184,229375,36000,37FFF,000000110111111111111111,000000110110000000000000,17:13,11011,12:0,Yes
,padding,BLANK,,20480,229376,249855,38000,3CFFF,000000111100111111111111,000000111000000000000000,17:13,11100,N/A,N/A
maincpu,joust2_prog1,cpu_2732_ic55_rom2_rev1.4c,08b0d5bd,4096,249856,253951,3D000,3DFFF,000000111101111111111111,000000111101000000000000,17:12,111101,11:0,Yes
,padding,BLANK,,4096,253952,258047,3E000,3EFFF,000000111110111111111111,000000111110000000000000,17:12,111110,N/A,N/A
proms,joust2_decoder.vhd,vid_82s147a_ic60_a-5282-10292.12f,0ea3f7fb,512,258048,258559,3F000,3F1FF,000000111111000111111111,000000111111000000000000,17:9,111111000,8:0,Yes
,,,,,,,,,,,,,,
proms,Not Used,vid_82s129_ic47_a-5282-10294.15d,,256,,,,,,,,,,
proms,Not Used,vid_82s123_ic14_a-5282-10295.2b,,32,,,,,,,,,,
bg:cpu,Not Used,snd_27256_rom23_rev1.u4,,32768,,,,,,,,,,
bg:cpu,Not Used,snd_27256_rom24_rev1.u19,,32768,,,,,,,,,,
bg:cpu,Not Used,snd_27256_rom25_rev1.u20,,32768,,,,,,,,,,
